Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,185.589996,185.899994,183.100006,184.889999,182.129959,2864800
2021-04-06,184.690002,185.630005,182.490005,182.800003,180.071182,2488400
2021-04-07,182.899994,183.179993,181.220001,182.320007,179.598343,3406600
2021-04-08,182.949997,183.970001,182.470001,182.610001,179.884018,2393200
2021-04-09,182.529999,185.139999,182.410004,184.490005,181.735962,2611200
2021-04-12,183.429993,183.940002,180.880005,181.820007,179.105804,2876100
2021-04-13,181.179993,183.639999,181.179993,182.529999,179.805206,3089100
2021-04-14,182.589996,184.470001,182.050003,183.000000,180.268173,2002100
2021-04-15,183.789993,187.720001,183.410004,185.919998,183.144608,2586600
2021-04-16,187.380005,190.300003,186.880005,189.250000,186.424896,3731800
2021-04-19,189.240005,190.880005,188.070007,189.639999,186.809067,2966400
2021-04-20,190.410004,193.500000,190.169998,190.610001,187.764587,2460900
2021-04-21,191.559998,193.009995,189.800003,190.949997,188.099518,2219800
2021-04-22,190.000000,191.270004,186.750000,187.050003,184.257721,2982600
2021-04-23,187.029999,189.130005,187.029999,188.720001,185.902802,2482800
2021-04-26,188.570007,188.649994,186.059998,187.220001,184.425171,2797500
2021-04-27,184.000000,185.869995,180.789993,182.210007,179.489975,6838700
2021-04-28,181.449997,182.000000,178.580002,180.550003,177.854782,4682800
2021-04-29,181.059998,182.630005,180.000000,182.199997,179.480118,2432500
2021-04-30,181.839996,183.949997,181.190002,182.770004,180.041626,3103900
2021-05-03,182.990005,186.350006,182.919998,185.919998,183.144608,3197000
2021-05-04,187.529999,190.080002,186.779999,188.199997,185.390549,3703500
2021-05-05,188.649994,193.570007,188.169998,192.809998,189.931747,4274400
2021-05-06,191.550003,194.100006,189.320007,193.889999,190.995621,3101600
2021-05-07,194.820007,196.270004,193.899994,195.419998,192.502777,2526700
2021-05-10,196.169998,196.610001,193.500000,194.759995,191.852615,2242000
2021-05-11,193.389999,195.750000,193.009995,194.750000,191.842773,1850200
2021-05-12,194.750000,195.649994,192.729996,193.199997,190.315933,2397400
2021-05-13,192.250000,196.110001,191.750000,194.940002,192.878540,2174300
2021-05-14,195.710007,197.270004,194.919998,196.210007,194.135117,1823700
2021-05-17,196.479996,199.610001,195.089996,195.529999,193.462296,2466000
2021-05-18,195.000000,196.350006,193.580002,194.630005,192.571808,2369400
2021-05-19,193.610001,197.389999,193.110001,196.509995,194.431931,3070500
2021-05-20,197.160004,201.080002,196.169998,199.529999,197.419998,3494400
2021-05-21,200.000000,201.919998,199.470001,199.880005,197.766296,2579000
2021-05-24,201.000000,203.619995,200.039993,201.020004,198.894257,2074900
2021-05-25,201.429993,201.850006,199.139999,199.220001,197.113266,2919100
2021-05-26,199.229996,202.440002,198.250000,200.990005,198.864563,2891300
2021-05-27,200.649994,201.380005,195.500000,199.199997,197.093491,9340300
2021-05-28,199.119995,202.279999,198.529999,199.740005,197.627777,2386000
2021-06-01,200.320007,200.889999,196.679993,198.419998,196.321747,3070200
2021-06-02,199.009995,200.919998,198.250000,199.130005,197.024216,2030300
2021-06-03,198.990005,203.639999,198.610001,202.699997,200.556473,3066600
2021-06-04,202.789993,204.449997,201.289993,202.020004,199.883667,2817700
2021-06-07,201.990005,233.330002,201.830002,222.520004,220.166885,17231400
2021-06-08,221.710007,222.270004,217.369995,220.699997,218.366119,4618500
