Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,315.630005,322.290009,311.480011,321.500000,321.500000,233800
2021-04-06,321.420013,329.019989,317.450012,323.619995,323.619995,245700
2021-04-07,325.230011,325.339996,317.209991,320.619995,320.619995,148000
2021-04-08,324.339996,331.220001,320.670013,329.750000,329.750000,238300
2021-04-09,328.540009,334.000000,326.070007,333.809998,333.809998,178400
2021-04-12,335.089996,335.089996,327.339996,333.109985,333.109985,169100
2021-04-13,334.130005,336.769989,328.429993,329.970001,329.970001,197200
2021-04-14,329.279999,333.390015,328.209991,330.600006,330.600006,171100
2021-04-15,333.480011,339.459991,332.820007,337.589996,337.589996,253300
2021-04-16,334.549988,339.079987,329.820007,330.529999,330.529999,290100
2021-04-19,328.010010,333.049988,327.179993,329.420013,329.420013,180300
2021-04-20,330.790009,334.390015,328.649994,330.100006,330.100006,190900
2021-04-21,331.720001,344.359985,330.059998,342.640015,342.640015,291800
2021-04-22,340.890015,345.950012,339.179993,343.399994,343.399994,182300
2021-04-23,345.589996,355.940002,344.790009,351.029999,351.029999,291400
2021-04-26,352.630005,353.200012,346.649994,348.200012,348.200012,254800
2021-04-27,348.790009,349.140015,340.160004,340.630005,340.630005,226900
2021-04-28,340.640015,352.570007,338.250000,351.170013,351.170013,318200
2021-04-29,349.220001,350.880005,320.010010,322.940002,322.940002,393200
2021-04-30,320.089996,327.000000,319.519989,320.730011,320.730011,259400
2021-05-03,317.880005,319.920013,305.510010,308.640015,308.640015,369200
2021-05-04,307.670013,310.190002,302.019989,305.000000,305.000000,273800
2021-05-05,305.489990,306.519989,299.760010,300.790009,300.790009,191600
2021-05-06,300.880005,301.279999,288.010010,295.720001,295.720001,463000
2021-05-07,299.239990,303.859985,296.350006,296.809998,296.809998,183300
2021-05-10,296.410004,297.000000,282.149994,282.720001,282.720001,325100
2021-05-11,279.119995,282.290009,276.010010,280.299988,280.299988,328200
2021-05-12,276.589996,280.829987,271.640015,272.250000,272.250000,266000
2021-05-13,274.750000,274.750000,262.589996,262.709991,262.709991,533600
2021-05-14,266.279999,272.920013,261.269989,268.559998,268.559998,262400
2021-05-17,266.119995,269.220001,263.929993,267.950012,267.950012,205200
2021-05-18,266.720001,277.470001,265.410004,272.970001,272.970001,383700
2021-05-19,267.440002,274.920013,266.799988,273.980011,273.980011,283400
2021-05-20,276.410004,279.989990,274.850006,276.390015,276.390015,193100
2021-05-21,276.399994,281.809998,276.399994,280.000000,280.000000,206500
2021-05-24,282.649994,283.089996,279.519989,279.579987,279.579987,185400
2021-05-25,281.000000,285.000000,281.000000,283.880005,283.880005,225500
2021-05-26,283.519989,284.929993,277.209991,282.269989,282.269989,247600
2021-05-27,281.869995,287.589996,278.739990,285.850006,285.850006,537600
2021-05-28,287.109985,293.630005,284.209991,284.579987,284.579987,269500
2021-06-01,284.850006,286.109985,278.970001,279.700012,279.700012,260400
2021-06-02,280.170013,283.000000,276.059998,280.279999,280.279999,271700
2021-06-03,278.040009,284.500000,278.040009,283.850006,283.850006,303200
2021-06-04,285.000000,292.950012,284.260010,289.510010,289.510010,286500
2021-06-07,290.320007,298.769989,286.980011,291.149994,291.149994,246500
2021-06-08,292.089996,295.000000,284.429993,289.170013,289.170013,291500
2021-06-09,291.720001,295.329987,291.720001,293.820007,293.820007,225400
2021-06-10,293.709991,299.589996,292.679993,298.130005,298.130005,171100
2021-06-11,299.880005,299.880005,296.619995,299.190002,299.190002,168100
2021-06-14,299.739990,305.119995,299.500000,302.869995,302.869995,274100
2021-06-15,303.600006,304.350006,300.459991,301.720001,301.720001,217400
2021-06-16,301.609985,304.380005,298.640015,303.299988,303.299988,287200
2021-06-17,303.329987,313.309998,301.519989,312.609985,312.609985,366300
2021-06-18,315.880005,322.079987,314.000000,318.570007,318.570007,564200
2021-06-21,318.179993,326.350006,313.730011,325.089996,325.089996,300600
2021-06-22,325.109985,328.519989,324.059998,327.190002,327.190002,192900
2021-06-23,327.489990,328.000000,319.320007,321.700012,321.700012,266200
2021-06-24,322.299988,324.540009,310.850006,311.809998,311.809998,367300
2021-06-25,312.299988,314.279999,308.989990,311.540009,311.540009,355500
2021-06-28,312.500000,314.179993,309.709991,312.440002,312.440002,239100
2021-06-29,311.309998,315.910004,309.799988,313.269989,313.269989,207000
2021-06-30,314.369995,319.359985,309.920013,312.109985,312.109985,266100
2021-07-01,311.019989,317.570007,311.019989,312.910004,312.910004,276200
2021-07-02,315.489990,318.220001,312.790009,317.019989,317.019989,178100
2021-07-06,317.279999,328.200012,317.119995,326.709991,326.709991,275400
2021-07-07,328.299988,335.890015,325.279999,334.529999,334.529999,283600
2021-07-08,331.859985,331.859985,322.000000,325.040009,325.040009,240200
2021-07-09,324.670013,327.140015,321.309998,324.769989,324.769989,174900
2021-07-12,324.660004,326.019989,319.450012,322.140015,322.140015,190300
2021-07-13,320.690002,322.609985,317.369995,319.130005,319.130005,137000
2021-07-14,319.500000,321.119995,311.589996,312.299988,312.299988,131100
2021-07-15,311.209991,314.179993,305.760010,310.190002,310.190002,162600
2021-07-16,311.350006,318.579987,309.970001,317.980011,317.980011,152200
2021-07-19,316.809998,317.079987,311.000000,314.619995,314.619995,130700
2021-07-20,315.470001,324.809998,315.470001,323.589996,323.589996,214900
2021-07-21,325.170013,325.170013,318.500000,322.850006,322.850006,133500
2021-07-22,323.989990,323.989990,319.519989,323.540009,323.540009,106500
2021-07-23,327.440002,328.839996,323.839996,328.519989,328.519989,148000
